"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 15 03:21:00 GMT 2025","Tue Apr 15 03:21:03 GMT 2025","2637","webkit","DiscoverPage.test.ts","","","","get started link",""
"passed","Tue Apr 15 03:20:49 GMT 2025","Tue Apr 15 03:20:52 GMT 2025","3314","firefox","DiscoverPage.test.ts","","","","get started link",""
"passed","Tue Apr 15 03:20:47 GMT 2025","Tue Apr 15 03:20:47 GMT 2025","729","chromium","DiscoverPage.test.ts","","","","has title",""
"passed","Tue Apr 15 03:20:47 GMT 2025","Tue Apr 15 03:20:48 GMT 2025","984","chromium","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 03:21:50 GMT 2025","Tue Apr 15 03:22:20 GMT 2025","30025","chromium","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"passed","Tue Apr 15 03:20:56 GMT 2025","Tue Apr 15 03:20:59 GMT 2025","3436","webkit","DiscoverPage.test.ts","","","","has title",""
"passed","Tue Apr 15 03:20:49 GMT 2025","Tue Apr 15 03:20:52 GMT 2025","2838","firefox","DiscoverPage.test.ts","","","","has title",""
"broken","Tue Apr 15 03:22:06 GMT 2025","Tue Apr 15 03:22:36 GMT 2025","30027","webkit","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 03:21:57 GMT 2025","Tue Apr 15 03:22:27 GMT 2025","30071","firefox","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
