"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 15 02:50:57 GMT 2025","Tue Apr 15 02:51:27 GMT 2025","30022","chromium","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"passed","Tue Apr 15 02:45:11 GMT 2025","Tue Apr 15 02:45:12 GMT 2025","895","chromium","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 03:05:11 GMT 2025","Tue Apr 15 03:05:41 GMT 2025","30019","webkit","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"passed","Tue Apr 15 02:51:26 GMT 2025","Tue Apr 15 02:51:27 GMT 2025","1158","firefox","DiscoverPage.test.ts","","","","has title",""
"passed","Tue Apr 15 03:00:12 GMT 2025","Tue Apr 15 03:00:18 GMT 2025","5315","webkit","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"broken","Tue Apr 15 02:47:52 GMT 2025","Tue Apr 15 02:48:22 GMT 2025","30020","chromium","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"broken","Tue Apr 15 03:04:26 GMT 2025","Tue Apr 15 03:04:56 GMT 2025","30022","webkit","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"broken","Tue Apr 15 02:49:20 GMT 2025","Tue Apr 15 02:49:50 GMT 2025","30017","chromium","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 03:02:06 GMT 2025","Tue Apr 15 03:02:36 GMT 2025","30019","webkit","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"broken","Tue Apr 15 03:00:34 GMT 2025","Tue Apr 15 03:01:04 GMT 2025","30021","webkit","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"passed","Tue Apr 15 02:58:17 GMT 2025","Tue Apr 15 02:58:19 GMT 2025","1619","webkit","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 02:52:32 GMT 2025","Tue Apr 15 02:53:02 GMT 2025","30029","firefox","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"failed","Tue Apr 15 03:00:07 GMT 2025","Tue Apr 15 03:00:12 GMT 2025","4911","webkit","PostPageCreation.test.ts","","","","Create Post using one character",""
"broken","Tue Apr 15 02:56:09 GMT 2025","Tue Apr 15 02:56:39 GMT 2025","30041","firefox","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"broken","Tue Apr 15 02:50:55 GMT 2025","Tue Apr 15 02:51:25 GMT 2025","30020","chromium","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"passed","Tue Apr 15 02:58:16 GMT 2025","Tue Apr 15 02:58:17 GMT 2025","689","webkit","DiscoverPage.test.ts","","","","has title",""
"broken","Tue Apr 15 02:59:00 GMT 2025","Tue Apr 15 02:59:30 GMT 2025","30031","firefox","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"broken","Tue Apr 15 02:46:14 GMT 2025","Tue Apr 15 02:46:44 GMT 2025","30018","chromium","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"broken","Tue Apr 15 02:50:52 GMT 2025","Tue Apr 15 02:51:22 GMT 2025","30017","chromium","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"broken","Tue Apr 15 02:54:15 GMT 2025","Tue Apr 15 02:54:45 GMT 2025","30031","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 02:59:21 GMT 2025","Tue Apr 15 02:59:51 GMT 2025","30030","webkit","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 03:02:53 GMT 2025","Tue Apr 15 03:03:23 GMT 2025","30021","webkit","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 03:01:20 GMT 2025","Tue Apr 15 03:01:50 GMT 2025","30022","webkit","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 02:53:59 GMT 2025","Tue Apr 15 02:54:29 GMT 2025","30034","firefox","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 02:46:15 GMT 2025","Tue Apr 15 02:46:45 GMT 2025","30028","chromium","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 02:57:44 GMT 2025","Tue Apr 15 02:58:14 GMT 2025","30036","firefox","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"broken","Tue Apr 15 02:57:25 GMT 2025","Tue Apr 15 02:57:55 GMT 2025","30030","firefox","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"passed","Tue Apr 15 02:46:45 GMT 2025","Tue Apr 15 02:46:50 GMT 2025","4702","chromium","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"broken","Tue Apr 15 02:52:33 GMT 2025","Tue Apr 15 02:53:04 GMT 2025","30096","firefox","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 03:04:55 GMT 2025","Tue Apr 15 03:05:25 GMT 2025","30019","webkit","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"passed","Tue Apr 15 02:46:44 GMT 2025","Tue Apr 15 02:46:49 GMT 2025","4782","chromium","PostPageCreation.test.ts","","","","Create Post using one character",""
"broken","Tue Apr 15 02:47:47 GMT 2025","Tue Apr 15 02:48:17 GMT 2025","30017","chromium","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 03:01:50 GMT 2025","Tue Apr 15 03:02:20 GMT 2025","30017","webkit","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"broken","Tue Apr 15 02:57:09 GMT 2025","Tue Apr 15 02:57:39 GMT 2025","30030","firefox","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"broken","Tue Apr 15 02:55:50 GMT 2025","Tue Apr 15 02:56:20 GMT 2025","30032","firefox","SearchPageErrorCase.test.ts","","","","Search for empty term",""
