"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 15 01:31:18 GMT 2025","Tue Apr 15 01:31:25 GMT 2025","6981","chromium","login-validation.test.ts","","","","Login Only Password Filled",""
"passed","Tue Apr 15 01:39:04 GMT 2025","Tue Apr 15 01:39:05 GMT 2025","1036","webkit","DiscoverPage.test.ts","","","","has title",""
"failed","Tue Apr 15 01:35:32 GMT 2025","Tue Apr 15 01:35:36 GMT 2025","3929","firefox","login-validation.test.ts","","","","Successful Login",""
"passed","Tue Apr 15 01:35:56 GMT 2025","Tue Apr 15 01:36:00 GMT 2025","3590","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 No Value",""
"failed","Tue Apr 15 01:39:33 GMT 2025","Tue Apr 15 01:39:36 GMT 2025","2471","webkit","login-validation.test.ts","","","","Successful Login",""
"passed","Tue Apr 15 01:31:39 GMT 2025","Tue Apr 15 01:31:50 GMT 2025","11210","chromium","registration.test.ts","","","","Register With Only Email (invalid)",""
"broken","Tue Apr 15 01:42:28 GMT 2025","Tue Apr 15 01:42:58 GMT 2025","30034","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Has Space)",""
"passed","Tue Apr 15 01:39:24 GMT 2025","Tue Apr 15 01:39:27 GMT 2025","2817","webkit","login-validation.test.ts","","","","Forgot Password Login",""
"passed","Tue Apr 15 01:35:18 GMT 2025","Tue Apr 15 01:35:21 GMT 2025","2718","firefox","login-validation.test.ts","","","","Forgot Password Login",""
"broken","Tue Apr 15 01:33:52 GMT 2025","Tue Apr 15 01:34:22 GMT 2025","30019","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Less Than 3 Characters",""
"broken","Tue Apr 15 01:43:16 GMT 2025","Tue Apr 15 01:43:46 GMT 2025","30024","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Good Handle)",""
"broken","Tue Apr 15 01:36:07 GMT 2025","Tue Apr 15 01:36:37 GMT 2025","30072","firefox","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 01:32:57 GMT 2025","Tue Apr 15 01:33:27 GMT 2025","30020","chromium","registration.test.ts","","","","Register Step 1 Valid",""
"passed","Tue Apr 15 01:31:18 GMT 2025","Tue Apr 15 01:31:25 GMT 2025","7233","chromium","login-validation.test.ts","","","","Login Only Email Filled",""
"broken","Tue Apr 15 01:41:43 GMT 2025","Tue Apr 15 01:42:13 GMT 2025","30039","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Less Than 3 Characters",""
"passed","Tue Apr 15 01:39:41 GMT 2025","Tue Apr 15 01:39:45 GMT 2025","3959","webkit","registration.test.ts","","","","Register With Only Email (valid)",""
"passed","Tue Apr 15 01:39:37 GMT 2025","Tue Apr 15 01:39:41 GMT 2025","4377","webkit","registration.test.ts","","","","Register With No Credentials",""
"passed","Tue Apr 15 01:35:43 GMT 2025","Tue Apr 15 01:35:46 GMT 2025","3296","firefox","registration.test.ts","","","","Register With Only Email (valid)",""
"passed","Tue Apr 15 01:39:16 GMT 2025","Tue Apr 15 01:39:21 GMT 2025","4792","webkit","login-validation.test.ts","","","","Login Only Password Filled",""
"broken","Tue Apr 15 01:35:25 GMT 2025","Tue Apr 15 01:35:55 GMT 2025","30031","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Good Handle)",""
"passed","Tue Apr 15 01:35:52 GMT 2025","Tue Apr 15 01:35:54 GMT 2025","2581","firefox","registration.test.ts","","","","Register With Birth Date Under 13 Years",""
"broken","Tue Apr 15 01:40:10 GMT 2025","Tue Apr 15 01:40:40 GMT 2025","30041","webkit","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 01:39:17 GMT 2025","Tue Apr 15 01:39:48 GMT 2025","30099","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Good Handle)",""
"broken","Tue Apr 15 01:37:42 GMT 2025","Tue Apr 15 01:38:12 GMT 2025","30046","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Less Than 3 Characters",""
"passed","Tue Apr 15 01:35:46 GMT 2025","Tue Apr 15 01:35:49 GMT 2025","2656","firefox","registration.test.ts","","","","Register With Only Email (invalid)",""
"passed","Tue Apr 15 01:31:17 GMT 2025","Tue Apr 15 01:31:18 GMT 2025","622","chromium","DiscoverPage.test.ts","","","","has title",""
"passed","Tue Apr 15 01:31:25 GMT 2025","Tue Apr 15 01:31:30 GMT 2025","4367","chromium","login-validation.test.ts","","","","Forgot Password Login",""
"passed","Tue Apr 15 01:35:00 GMT 2025","Tue Apr 15 01:35:01 GMT 2025","1201","firefox","DiscoverPage.test.ts","","","","has title",""
"broken","Tue Apr 15 01:36:57 GMT 2025","Tue Apr 15 01:37:27 GMT 2025","30066","firefox","registration.test.ts","","","","Register Step 1 Valid",""
"passed","Tue Apr 15 01:31:17 GMT 2025","Tue Apr 15 01:31:18 GMT 2025","795","chromium","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 01:34:29 GMT 2025","Tue Apr 15 01:34:59 GMT 2025","30018","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Has Space)",""
"passed","Tue Apr 15 01:39:21 GMT 2025","Tue Apr 15 01:39:24 GMT 2025","3134","webkit","login-validation.test.ts","","","","Login Bad Email Bad Password",""
"passed","Tue Apr 15 01:31:25 GMT 2025","Tue Apr 15 01:31:30 GMT 2025","4513","chromium","login-validation.test.ts","","","","Login Bad Email Bad Password",""
"broken","Tue Apr 15 01:38:32 GMT 2025","Tue Apr 15 01:39:02 GMT 2025","30051","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Has Space)",""
"failed","Tue Apr 15 01:40:00 GMT 2025","Tue Apr 15 01:40:02 GMT 2025","2732","webkit","registration.test.ts","","","","Register With Birth Date Under 13 Years",""
"passed","Tue Apr 15 01:35:49 GMT 2025","Tue Apr 15 01:35:52 GMT 2025","2717","firefox","registration.test.ts","","","","Register With Valid Email, Short Password",""
"passed","Tue Apr 15 01:35:15 GMT 2025","Tue Apr 15 01:35:18 GMT 2025","2744","firefox","login-validation.test.ts","","","","Login Bad Email Bad Password",""
"passed","Tue Apr 15 01:35:38 GMT 2025","Tue Apr 15 01:35:42 GMT 2025","4793","firefox","registration.test.ts","","","","Register With No Credentials",""
"passed","Tue Apr 15 01:35:13 GMT 2025","Tue Apr 15 01:35:15 GMT 2025","2586","firefox","login-validation.test.ts","","","","Login Only Password Filled",""
"passed","Tue Apr 15 01:31:55 GMT 2025","Tue Apr 15 01:32:00 GMT 2025","4896","chromium","registration.test.ts","","","","Register With Birth Date Under 13 Years",""
"passed","Tue Apr 15 01:35:02 GMT 2025","Tue Apr 15 01:35:02 GMT 2025","685","firefox","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 01:37:03 GMT 2025","Tue Apr 15 01:37:33 GMT 2025","30047","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Already Taken",""
"passed","Tue Apr 15 01:40:03 GMT 2025","Tue Apr 15 01:40:06 GMT 2025","2827","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 No Value",""
"broken","Tue Apr 15 01:32:20 GMT 2025","Tue Apr 15 01:32:50 GMT 2025","30023","chromium","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 01:40:55 GMT 2025","Tue Apr 15 01:41:25 GMT 2025","30025","webkit","registration.test.ts","","","","Register Step 1 Valid",""
"broken","Tue Apr 15 01:41:08 GMT 2025","Tue Apr 15 01:41:38 GMT 2025","30037","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Already Taken",""
"passed","Tue Apr 15 01:39:45 GMT 2025","Tue Apr 15 01:39:49 GMT 2025","3650","webkit","registration.test.ts","","","","Register With Only Email (invalid)",""
"failed","Tue Apr 15 01:31:42 GMT 2025","Tue Apr 15 01:31:54 GMT 2025","11432","chromium","login-validation.test.ts","","","","Successful Login",""
"broken","Tue Apr 15 01:38:38 GMT 2025","Tue Apr 15 01:39:08 GMT 2025","30052","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Over 18 Characters)",""
"passed","Tue Apr 15 01:35:08 GMT 2025","Tue Apr 15 01:35:12 GMT 2025","3752","firefox","login-validation.test.ts","","","","Login Only Email Filled",""
"broken","Tue Apr 15 01:42:41 GMT 2025","Tue Apr 15 01:43:11 GMT 2025","30032","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Over 18 Characters)",""
"broken","Tue Apr 15 01:34:38 GMT 2025","Tue Apr 15 01:35:08 GMT 2025","30020","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Over 18 Characters)",""
"passed","Tue Apr 15 01:31:34 GMT 2025","Tue Apr 15 01:31:39 GMT 2025","4803","chromium","registration.test.ts","","","","Register With Only Email (valid)",""
"passed","Tue Apr 15 01:31:30 GMT 2025","Tue Apr 15 01:31:34 GMT 2025","4228","chromium","registration.test.ts","","","","Register With No Credentials",""
"passed","Tue Apr 15 01:39:05 GMT 2025","Tue Apr 15 01:39:07 GMT 2025","1755","webkit","DiscoverPage.test.ts","","","","get started link",""
"passed","Tue Apr 15 01:31:50 GMT 2025","Tue Apr 15 01:31:55 GMT 2025","5244","chromium","registration.test.ts","","","","Register With Valid Email, Short Password",""
"passed","Tue Apr 15 01:39:10 GMT 2025","Tue Apr 15 01:39:16 GMT 2025","5511","webkit","login-validation.test.ts","","","","Login Only Email Filled",""
"passed","Tue Apr 15 01:39:49 GMT 2025","Tue Apr 15 01:39:53 GMT 2025","4464","webkit","registration.test.ts","","","","Register With Valid Email, Short Password",""
"passed","Tue Apr 15 01:32:00 GMT 2025","Tue Apr 15 01:32:04 GMT 2025","3120","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 No Value",""
"broken","Tue Apr 15 01:33:05 GMT 2025","Tue Apr 15 01:33:35 GMT 2025","30020","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Already Taken",""
