"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 15 01:51:22 GMT 2025","Tue Apr 15 01:51:52 GMT 2025","30038","firefox","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"passed","Tue Apr 15 01:40:56 GMT 2025","Tue Apr 15 01:40:57 GMT 2025","724","chromium","DiscoverPage.test.ts","","","","has title",""
"broken","Tue Apr 15 01:48:11 GMT 2025","Tue Apr 15 01:48:41 GMT 2025","30056","chromium","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"broken","Tue Apr 15 01:48:07 GMT 2025","Tue Apr 15 01:48:37 GMT 2025","30017","chromium","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"broken","Tue Apr 15 01:46:37 GMT 2025","Tue Apr 15 01:47:07 GMT 2025","30023","chromium","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"broken","Tue Apr 15 01:52:54 GMT 2025","Tue Apr 15 01:53:24 GMT 2025","30030","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"broken","Tue Apr 15 01:56:03 GMT 2025","Tue Apr 15 01:56:33 GMT 2025","30029","firefox","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"broken","Tue Apr 15 01:56:07 GMT 2025","Tue Apr 15 01:56:37 GMT 2025","30031","firefox","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"broken","Tue Apr 15 01:43:32 GMT 2025","Tue Apr 15 01:44:02 GMT 2025","30020","chromium","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"passed","Tue Apr 15 01:56:35 GMT 2025","Tue Apr 15 01:56:38 GMT 2025","3607","webkit","DiscoverPage.test.ts","","","","has title",""
"broken","Tue Apr 15 01:43:33 GMT 2025","Tue Apr 15 01:44:03 GMT 2025","30020","chromium","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 02:03:58 GMT 2025","Tue Apr 15 02:04:28 GMT 2025","30019","webkit","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"broken","Tue Apr 15 01:57:48 GMT 2025","Tue Apr 15 01:58:18 GMT 2025","30028","webkit","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"passed","Tue Apr 15 01:48:38 GMT 2025","Tue Apr 15 01:48:39 GMT 2025","1224","firefox","DiscoverPage.test.ts","","","","has title",""
"broken","Tue Apr 15 01:54:36 GMT 2025","Tue Apr 15 01:55:06 GMT 2025","30033","firefox","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"broken","Tue Apr 15 02:02:19 GMT 2025","Tue Apr 15 02:02:49 GMT 2025","30018","webkit","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"broken","Tue Apr 15 01:46:38 GMT 2025","Tue Apr 15 01:47:08 GMT 2025","30021","chromium","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"broken","Tue Apr 15 01:43:30 GMT 2025","Tue Apr 15 01:44:00 GMT 2025","30017","chromium","PostPageCreation.test.ts","","","","Create Post using one character",""
"broken","Tue Apr 15 01:51:19 GMT 2025","Tue Apr 15 01:51:49 GMT 2025","30034","firefox","PostPageCreation.test.ts","","","","Create Post using one character",""
"broken","Tue Apr 15 01:45:06 GMT 2025","Tue Apr 15 01:45:36 GMT 2025","30035","chromium","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 01:51:25 GMT 2025","Tue Apr 15 01:51:55 GMT 2025","30037","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 01:45:05 GMT 2025","Tue Apr 15 01:45:35 GMT 2025","30017","chromium","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"broken","Tue Apr 15 01:41:58 GMT 2025","Tue Apr 15 01:42:28 GMT 2025","30025","chromium","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 02:00:53 GMT 2025","Tue Apr 15 02:01:23 GMT 2025","30019","webkit","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 01:45:03 GMT 2025","Tue Apr 15 01:45:33 GMT 2025","30017","chromium","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"broken","Tue Apr 15 01:54:33 GMT 2025","Tue Apr 15 01:55:03 GMT 2025","30030","firefox","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"broken","Tue Apr 15 02:02:26 GMT 2025","Tue Apr 15 02:02:56 GMT 2025","30018","webkit","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"broken","Tue Apr 15 01:56:11 GMT 2025","Tue Apr 15 01:56:41 GMT 2025","30102","firefox","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
