"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 15 01:11:29 GMT 2025","Tue Apr 15 01:11:59 GMT 2025","30019","webkit","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"broken","Tue Apr 15 01:05:24 GMT 2025","Tue Apr 15 01:05:54 GMT 2025","30041","firefox","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"broken","Tue Apr 15 01:00:33 GMT 2025","Tue Apr 15 01:01:03 GMT 2025","30017","chromium","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"broken","Tue Apr 15 01:13:01 GMT 2025","Tue Apr 15 01:13:31 GMT 2025","30020","webkit","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"passed","Tue Apr 15 01:02:37 GMT 2025","Tue Apr 15 01:02:41 GMT 2025","3787","chromium","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"broken","Tue Apr 15 01:08:19 GMT 2025","Tue Apr 15 01:08:49 GMT 2025","30035","firefox","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 00:59:00 GMT 2025","Tue Apr 15 00:59:30 GMT 2025","30020","chromium","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"broken","Tue Apr 15 01:03:48 GMT 2025","Tue Apr 15 01:04:18 GMT 2025","30053","firefox","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"broken","Tue Apr 15 01:02:05 GMT 2025","Tue Apr 15 01:02:35 GMT 2025","30019","chromium","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"broken","Tue Apr 15 01:11:39 GMT 2025","Tue Apr 15 01:12:09 GMT 2025","30019","webkit","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 01:16:32 GMT 2025","Tue Apr 15 01:17:02 GMT 2025","30021","webkit","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"broken","Tue Apr 15 01:10:22 GMT 2025","Tue Apr 15 01:10:53 GMT 2025","30033","webkit","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"passed","Tue Apr 15 00:56:21 GMT 2025","Tue Apr 15 00:56:22 GMT 2025","1197","chromium","DiscoverPage.test.ts","","","","get started link",""
"passed","Tue Apr 15 01:09:06 GMT 2025","Tue Apr 15 01:09:10 GMT 2025","3735","firefox","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"broken","Tue Apr 15 00:57:27 GMT 2025","Tue Apr 15 00:57:57 GMT 2025","30029","chromium","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 01:08:30 GMT 2025","Tue Apr 15 01:09:00 GMT 2025","30033","firefox","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"broken","Tue Apr 15 01:00:33 GMT 2025","Tue Apr 15 01:01:03 GMT 2025","30020","chromium","SearchPageErrorCase.test.ts","","","","Search for empty term",""
