"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 11 23:13:40 GMT 2025","Fri Apr 11 23:13:44 GMT 2025","3880","webkit","registration.test.ts","","","","Register With Only Email (valid)",""
"broken","Fri Apr 11 23:06:31 GMT 2025","Fri Apr 11 23:07:01 GMT 2025","30025","chromium","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"passed","Fri Apr 11 23:05:29 GMT 2025","Fri Apr 11 23:05:31 GMT 2025","2330","chromium","login-validation.test.ts","","","","Login Only Email Filled",""
"broken","Fri Apr 11 23:14:52 GMT 2025","Fri Apr 11 23:15:22 GMT 2025","30024","webkit","registration.test.ts","","","","Register Step 1 Valid)",""
"broken","Fri Apr 11 23:12:15 GMT 2025","Fri Apr 11 23:12:45 GMT 2025","30048","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Has Space)",""
"passed","Fri Apr 11 23:08:54 GMT 2025","Fri Apr 11 23:08:55 GMT 2025","1196","firefox","DiscoverPage.test.ts","","","","has title",""
"passed","Fri Apr 11 23:05:34 GMT 2025","Fri Apr 11 23:05:38 GMT 2025","3665","chromium","login-validation.test.ts","","","","Successful Login",""
"passed","Fri Apr 11 23:05:44 GMT 2025","Fri Apr 11 23:05:48 GMT 2025","4677","chromium","registration.test.ts","","","","Register With Valid Email, Short Password)",""
"passed","Fri Apr 11 23:09:14 GMT 2025","Fri Apr 11 23:09:15 GMT 2025","1297","firefox","login-validation.test.ts","","","","Forgot Password Login",""
"passed","Fri Apr 11 23:05:34 GMT 2025","Fri Apr 11 23:05:40 GMT 2025","5511","chromium","registration.test.ts","","","","Register With No Credentials",""
"broken","Fri Apr 11 23:13:11 GMT 2025","Fri Apr 11 23:13:41 GMT 2025","30057","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Good Handle)",""
"passed","Fri Apr 11 23:05:29 GMT 2025","Fri Apr 11 23:05:31 GMT 2025","2147","chromium","login-validation.test.ts","","","","Login Only Password Filled",""
"passed","Fri Apr 11 23:13:43 GMT 2025","Fri Apr 11 23:13:46 GMT 2025","3604","webkit","registration.test.ts","","","","Register With Only Email (invalid)",""
"passed","Fri Apr 11 23:09:32 GMT 2025","Fri Apr 11 23:09:36 GMT 2025","3723","firefox","registration.test.ts","","","","Register With Birth Date Under 13 Years)",""
"broken","Fri Apr 11 23:11:36 GMT 2025","Fri Apr 11 23:12:06 GMT 2025","30052","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Less Than 3 Characters)",""
