"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 11 21:58:27 GMT 2025","Fri Apr 11 21:58:28 GMT 2025","1674","webkit","login-validation.test.ts","","","","Forgot Password Login",""
"passed","Fri Apr 11 21:58:22 GMT 2025","Fri Apr 11 21:58:24 GMT 2025","2359","webkit","login-validation.test.ts","","","","Login Only Password Filled",""
"passed","Fri Apr 11 21:56:45 GMT 2025","Fri Apr 11 21:56:46 GMT 2025","779","chromium","DiscoverPage.test.ts","","","","has title",""
"passed","Fri Apr 11 21:57:12 GMT 2025","Fri Apr 11 21:57:15 GMT 2025","2692","firefox","login-validation.test.ts","","","","Forgot Password Login",""
"broken","Fri Apr 11 21:58:32 GMT 2025","Fri Apr 11 21:59:02 GMT 2025","30036","webkit","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"passed","Fri Apr 11 21:57:00 GMT 2025","Fri Apr 11 21:57:06 GMT 2025","6313","firefox","login-validation.test.ts","","","","Login Only Email Filled",""
"passed","Fri Apr 11 21:58:19 GMT 2025","Fri Apr 11 21:58:22 GMT 2025","2515","webkit","login-validation.test.ts","","","","Login Only Email Filled",""
"passed","Fri Apr 11 21:56:52 GMT 2025","Fri Apr 11 21:56:59 GMT 2025","6467","chromium","login-validation.test.ts","","","","Successful Login",""
"broken","Fri Apr 11 21:58:06 GMT 2025","Fri Apr 11 21:58:36 GMT 2025","30137","firefox","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"passed","Fri Apr 11 21:57:15 GMT 2025","Fri Apr 11 21:57:20 GMT 2025","5264","firefox","login-validation.test.ts","","","","Successful Login",""
"passed","Fri Apr 11 21:58:24 GMT 2025","Fri Apr 11 21:58:27 GMT 2025","2634","webkit","login-validation.test.ts","","","","Login Bad Email Bad Password",""
"passed","Fri Apr 11 21:56:45 GMT 2025","Fri Apr 11 21:56:46 GMT 2025","981","chromium","DiscoverPage.test.ts","","","","get started link",""
"passed","Fri Apr 11 21:58:28 GMT 2025","Fri Apr 11 21:58:33 GMT 2025","4594","webkit","login-validation.test.ts","","","","Successful Login",""
"broken","Fri Apr 11 21:57:48 GMT 2025","Fri Apr 11 21:58:18 GMT 2025","30025","chromium","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"passed","Fri Apr 11 21:57:09 GMT 2025","Fri Apr 11 21:57:12 GMT 2025","3058","firefox","login-validation.test.ts","","","","Login Bad Email Bad Password",""
"passed","Fri Apr 11 21:56:57 GMT 2025","Fri Apr 11 21:56:59 GMT 2025","1435","firefox","DiscoverPage.test.ts","","","","get started link",""
"passed","Fri Apr 11 21:57:26 GMT 2025","Fri Apr 11 21:57:29 GMT 2025","3279","webkit","DiscoverPage.test.ts","","","","get started link",""
"passed","Fri Apr 11 21:56:50 GMT 2025","Fri Apr 11 21:56:52 GMT 2025","2441","chromium","login-validation.test.ts","","","","Forgot Password Login",""
"passed","Fri Apr 11 21:56:46 GMT 2025","Fri Apr 11 21:56:50 GMT 2025","3731","chromium","login-validation.test.ts","","","","Login Only Email Filled",""
"passed","Fri Apr 11 21:56:54 GMT 2025","Fri Apr 11 21:56:56 GMT 2025","2615","firefox","DiscoverPage.test.ts","","","","has title",""
"passed","Fri Apr 11 21:57:22 GMT 2025","Fri Apr 11 21:57:25 GMT 2025","2516","webkit","DiscoverPage.test.ts","","","","has title",""
"passed","Fri Apr 11 21:56:49 GMT 2025","Fri Apr 11 21:56:52 GMT 2025","2985","chromium","login-validation.test.ts","","","","Login Bad Email Bad Password",""
"passed","Fri Apr 11 21:57:07 GMT 2025","Fri Apr 11 21:57:09 GMT 2025","2597","firefox","login-validation.test.ts","","","","Login Only Password Filled",""
"passed","Fri Apr 11 21:56:46 GMT 2025","Fri Apr 11 21:56:49 GMT 2025","2734","chromium","login-validation.test.ts","","","","Login Only Password Filled",""
