"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 15 00:54:11 GMT 2025","Tue Apr 15 00:54:11 GMT 2025","706","firefox","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 00:56:03 GMT 2025","Tue Apr 15 00:56:33 GMT 2025","30034","firefox","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"passed","Tue Apr 15 00:57:30 GMT 2025","Tue Apr 15 00:57:34 GMT 2025","4733","firefox","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"passed","Tue Apr 15 00:59:53 GMT 2025","Tue Apr 15 00:59:58 GMT 2025","4911","webkit","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 00:54:30 GMT 2025","Tue Apr 15 00:55:00 GMT 2025","30027","chromium","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"passed","Tue Apr 15 00:53:51 GMT 2025","Tue Apr 15 00:53:54 GMT 2025","2849","chromium","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"passed","Tue Apr 15 01:01:19 GMT 2025","Tue Apr 15 01:01:25 GMT 2025","5838","webkit","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"passed","Tue Apr 15 00:57:48 GMT 2025","Tue Apr 15 00:57:50 GMT 2025","1634","webkit","DiscoverPage.test.ts","","","","has title",""
"passed","Tue Apr 15 00:51:52 GMT 2025","Tue Apr 15 00:51:53 GMT 2025","896","chromium","DiscoverPage.test.ts","","","","has title",""
"passed","Tue Apr 15 01:01:23 GMT 2025","Tue Apr 15 01:01:28 GMT 2025","4650","webkit","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"passed","Tue Apr 15 00:57:35 GMT 2025","Tue Apr 15 00:57:37 GMT 2025","2515","firefox","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"broken","Tue Apr 15 00:58:55 GMT 2025","Tue Apr 15 00:59:25 GMT 2025","30035","webkit","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 00:52:57 GMT 2025","Tue Apr 15 00:53:27 GMT 2025","30020","chromium","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"passed","Tue Apr 15 00:56:37 GMT 2025","Tue Apr 15 00:56:42 GMT 2025","4069","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"passed","Tue Apr 15 01:00:59 GMT 2025","Tue Apr 15 01:01:02 GMT 2025","3116","webkit","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"passed","Tue Apr 15 00:57:40 GMT 2025","Tue Apr 15 00:57:43 GMT 2025","3300","firefox","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"broken","Tue Apr 15 01:01:06 GMT 2025","Tue Apr 15 01:01:36 GMT 2025","30026","webkit","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"passed","Tue Apr 15 01:01:18 GMT 2025","Tue Apr 15 01:01:23 GMT 2025","4992","webkit","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"broken","Tue Apr 15 00:59:11 GMT 2025","Tue Apr 15 00:59:41 GMT 2025","30021","webkit","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"broken","Tue Apr 15 00:59:22 GMT 2025","Tue Apr 15 00:59:52 GMT 2025","30017","webkit","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 00:57:38 GMT 2025","Tue Apr 15 00:58:08 GMT 2025","30032","firefox","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"passed","Tue Apr 15 00:53:54 GMT 2025","Tue Apr 15 00:53:57 GMT 2025","3477","chromium","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"passed","Tue Apr 15 00:54:00 GMT 2025","Tue Apr 15 00:54:03 GMT 2025","2505","chromium","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"passed","Tue Apr 15 00:56:42 GMT 2025","Tue Apr 15 00:56:45 GMT 2025","3182","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"passed","Tue Apr 15 00:57:22 GMT 2025","Tue Apr 15 00:57:26 GMT 2025","3764","firefox","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"passed","Tue Apr 15 00:54:03 GMT 2025","Tue Apr 15 00:54:05 GMT 2025","2462","chromium","SearchPageUsers.test.ts","","","","Search for user using username handle",""
