"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 15 02:00:17 GMT 2025","Tue Apr 15 02:00:47 GMT 2025","30020","webkit","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"broken","Tue Apr 15 01:49:13 GMT 2025","Tue Apr 15 01:49:43 GMT 2025","30033","firefox","PostPageCreation.test.ts","","","","Create Post using one character",""
"broken","Tue Apr 15 01:54:05 GMT 2025","Tue Apr 15 01:54:35 GMT 2025","30048","firefox","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"broken","Tue Apr 15 01:41:27 GMT 2025","Tue Apr 15 01:41:57 GMT 2025","30025","chromium","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 01:44:32 GMT 2025","Tue Apr 15 01:45:02 GMT 2025","30033","chromium","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"broken","Tue Apr 15 01:54:01 GMT 2025","Tue Apr 15 01:54:31 GMT 2025","30031","firefox","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"broken","Tue Apr 15 01:43:00 GMT 2025","Tue Apr 15 01:43:30 GMT 2025","30028","chromium","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 01:49:19 GMT 2025","Tue Apr 15 01:49:49 GMT 2025","30043","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 01:39:54 GMT 2025","Tue Apr 15 01:40:24 GMT 2025","30026","chromium","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 01:47:40 GMT 2025","Tue Apr 15 01:48:10 GMT 2025","30122","firefox","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 01:52:26 GMT 2025","Tue Apr 15 01:52:57 GMT 2025","30031","firefox","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"broken","Tue Apr 15 01:46:01 GMT 2025","Tue Apr 15 01:46:31 GMT 2025","30018","chromium","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"broken","Tue Apr 15 01:46:04 GMT 2025","Tue Apr 15 01:46:34 GMT 2025","30030","chromium","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"broken","Tue Apr 15 02:01:53 GMT 2025","Tue Apr 15 02:02:23 GMT 2025","30020","webkit","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"passed","Tue Apr 15 01:46:34 GMT 2025","Tue Apr 15 01:46:34 GMT 2025","855","firefox","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 01:46:05 GMT 2025","Tue Apr 15 01:46:35 GMT 2025","30038","chromium","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"broken","Tue Apr 15 01:55:40 GMT 2025","Tue Apr 15 01:56:10 GMT 2025","30020","webkit","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 02:00:14 GMT 2025","Tue Apr 15 02:00:44 GMT 2025","30020","webkit","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"broken","Tue Apr 15 01:50:55 GMT 2025","Tue Apr 15 01:51:25 GMT 2025","30044","firefox","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 02:01:50 GMT 2025","Tue Apr 15 02:02:20 GMT 2025","30019","webkit","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"broken","Tue Apr 15 01:52:22 GMT 2025","Tue Apr 15 01:52:52 GMT 2025","30030","firefox","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"broken","Tue Apr 15 01:44:29 GMT 2025","Tue Apr 15 01:44:59 GMT 2025","30017","chromium","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"broken","Tue Apr 15 01:55:37 GMT 2025","Tue Apr 15 01:56:07 GMT 2025","30029","webkit","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 01:50:48 GMT 2025","Tue Apr 15 01:51:18 GMT 2025","30052","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"passed","Tue Apr 15 01:38:46 GMT 2025","Tue Apr 15 01:38:47 GMT 2025","984","chromium","DiscoverPage.test.ts","","","","has title",""
"broken","Tue Apr 15 01:47:42 GMT 2025","Tue Apr 15 01:48:12 GMT 2025","30038","firefox","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 01:52:30 GMT 2025","Tue Apr 15 01:53:00 GMT 2025","30034","firefox","SearchPagePosts.test.ts","","","","Search for posts using general search",""
