"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 15 02:46:55 GMT 2025","Tue Apr 15 02:47:00 GMT 2025","4994","chromium","registration.test.ts","","","","Register With Only Email (invalid)",""
"passed","Tue Apr 15 02:46:46 GMT 2025","Tue Apr 15 02:46:50 GMT 2025","4142","chromium","login-validation.test.ts","","","","Forgot Password Login",""
"passed","Tue Apr 15 02:48:18 GMT 2025","Tue Apr 15 02:48:22 GMT 2025","3696","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Over 18 Characters)",""
"passed","Tue Apr 15 02:49:20 GMT 2025","Tue Apr 15 02:49:25 GMT 2025","4757","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Has Space)",""
"passed","Tue Apr 15 02:49:19 GMT 2025","Tue Apr 15 02:49:22 GMT 2025","3797","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Less Than 3 Characters",""
"passed","Tue Apr 15 02:47:12 GMT 2025","Tue Apr 15 02:47:17 GMT 2025","4771","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 No Value",""
"passed","Tue Apr 15 02:47:38 GMT 2025","Tue Apr 15 02:47:42 GMT 2025","3968","firefox","login-validation.test.ts","","","","Login Bad Email Bad Password",""
"broken","Tue Apr 15 02:47:41 GMT 2025","Tue Apr 15 02:48:11 GMT 2025","30034","chromium","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"failed","Tue Apr 15 02:49:09 GMT 2025","Tue Apr 15 02:49:13 GMT 2025","3907","webkit","registration.test.ts","","","","Register With Birth Date Under 13 Years",""
"passed","Tue Apr 15 02:48:47 GMT 2025","Tue Apr 15 02:48:50 GMT 2025","3059","webkit","registration.test.ts","","","","Register With No Credentials",""
"passed","Tue Apr 15 02:46:59 GMT 2025","Tue Apr 15 02:47:04 GMT 2025","4635","chromium","registration.test.ts","","","","Register With Valid Email, Short Password",""
"passed","Tue Apr 15 02:47:49 GMT 2025","Tue Apr 15 02:47:51 GMT 2025","2819","firefox","registration.test.ts","","","","Register With No Credentials",""
"passed","Tue Apr 15 02:48:20 GMT 2025","Tue Apr 15 02:48:24 GMT 2025","3861","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Good Handle)",""
"passed","Tue Apr 15 02:48:25 GMT 2025","Tue Apr 15 02:48:27 GMT 2025","2198","webkit","DiscoverPage.test.ts","","","","get started link",""
"passed","Tue Apr 15 02:47:26 GMT 2025","Tue Apr 15 02:47:30 GMT 2025","4815","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Good Handle)",""
"passed","Tue Apr 15 02:47:42 GMT 2025","Tue Apr 15 02:47:45 GMT 2025","2898","firefox","login-validation.test.ts","","","","Forgot Password Login",""
"passed","Tue Apr 15 02:48:40 GMT 2025","Tue Apr 15 02:48:43 GMT 2025","3052","webkit","login-validation.test.ts","","","","Forgot Password Login",""
"passed","Tue Apr 15 02:46:39 GMT 2025","Tue Apr 15 02:46:46 GMT 2025","7235","chromium","login-validation.test.ts","","","","Login Only Email Filled",""
"passed","Tue Apr 15 02:47:29 GMT 2025","Tue Apr 15 02:47:31 GMT 2025","1038","firefox","DiscoverPage.test.ts","","","","get started link",""
"passed","Tue Apr 15 02:47:22 GMT 2025","Tue Apr 15 02:47:26 GMT 2025","4133","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Over 18 Characters)",""
"passed","Tue Apr 15 02:47:22 GMT 2025","Tue Apr 15 02:47:25 GMT 2025","3896","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Has Space)",""
"passed","Tue Apr 15 02:47:45 GMT 2025","Tue Apr 15 02:47:49 GMT 2025","3468","firefox","login-validation.test.ts","","","","Successful Login",""
"passed","Tue Apr 15 02:46:55 GMT 2025","Tue Apr 15 02:46:59 GMT 2025","4889","chromium","registration.test.ts","","","","Register With Only Email (valid)",""
"passed","Tue Apr 15 02:48:03 GMT 2025","Tue Apr 15 02:48:06 GMT 2025","3692","firefox","registration.test.ts","","","","Register Step 1 Valid",""
"passed","Tue Apr 15 02:47:31 GMT 2025","Tue Apr 15 02:47:35 GMT 2025","4251","firefox","login-validation.test.ts","","","","Login Only Email Filled",""
"passed","Tue Apr 15 02:48:11 GMT 2025","Tue Apr 15 02:48:15 GMT 2025","4927","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Already Taken",""
"passed","Tue Apr 15 02:49:14 GMT 2025","Tue Apr 15 02:49:18 GMT 2025","4056","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 No Value",""
"passed","Tue Apr 15 02:48:56 GMT 2025","Tue Apr 15 02:48:59 GMT 2025","3512","webkit","registration.test.ts","","","","Register With Valid Email, Short Password",""
"passed","Tue Apr 15 02:47:00 GMT 2025","Tue Apr 15 02:47:12 GMT 2025","12081","chromium","registration.test.ts","","","","Register With Birth Date Under 13 Years",""
"passed","Tue Apr 15 02:49:22 GMT 2025","Tue Apr 15 02:49:27 GMT 2025","4303","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Over 18 Characters)",""
"passed","Tue Apr 15 02:48:43 GMT 2025","Tue Apr 15 02:48:47 GMT 2025","4137","webkit","login-validation.test.ts","","","","Successful Login",""
"passed","Tue Apr 15 02:47:16 GMT 2025","Tue Apr 15 02:47:22 GMT 2025","5914","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Already Taken",""
"passed","Tue Apr 15 02:47:17 GMT 2025","Tue Apr 15 02:47:22 GMT 2025","4753","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Less Than 3 Characters",""
"passed","Tue Apr 15 02:48:12 GMT 2025","Tue Apr 15 02:48:17 GMT 2025","5105","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Less Than 3 Characters",""
"passed","Tue Apr 15 02:46:39 GMT 2025","Tue Apr 15 02:46:46 GMT 2025","7189","chromium","login-validation.test.ts","","","","Login Only Password Filled",""
"passed","Tue Apr 15 02:46:38 GMT 2025","Tue Apr 15 02:46:38 GMT 2025","830","chromium","DiscoverPage.test.ts","","","","get started link",""
"passed","Tue Apr 15 02:48:36 GMT 2025","Tue Apr 15 02:48:40 GMT 2025","3960","webkit","login-validation.test.ts","","","","Login Bad Email Bad Password",""
"passed","Tue Apr 15 02:48:27 GMT 2025","Tue Apr 15 02:48:31 GMT 2025","4118","webkit","login-validation.test.ts","","","","Login Only Email Filled",""
"broken","Tue Apr 15 02:48:37 GMT 2025","Tue Apr 15 02:49:07 GMT 2025","30124","firefox","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"passed","Tue Apr 15 02:48:00 GMT 2025","Tue Apr 15 02:48:03 GMT 2025","2790","firefox","registration.test.ts","","","","Register With Birth Date Under 13 Years",""
"passed","Tue Apr 15 02:47:57 GMT 2025","Tue Apr 15 02:48:00 GMT 2025","3130","firefox","registration.test.ts","","","","Register With Valid Email, Short Password",""
"passed","Tue Apr 15 02:46:46 GMT 2025","Tue Apr 15 02:46:50 GMT 2025","4274","chromium","login-validation.test.ts","","","","Login Bad Email Bad Password",""
"passed","Tue Apr 15 02:48:50 GMT 2025","Tue Apr 15 02:48:53 GMT 2025","2814","webkit","registration.test.ts","","","","Register With Only Email (valid)",""
"passed","Tue Apr 15 02:47:52 GMT 2025","Tue Apr 15 02:47:54 GMT 2025","2689","firefox","registration.test.ts","","","","Register With Only Email (valid)",""
"passed","Tue Apr 15 02:48:53 GMT 2025","Tue Apr 15 02:48:56 GMT 2025","2839","webkit","registration.test.ts","","","","Register With Only Email (invalid)",""
"passed","Tue Apr 15 02:48:15 GMT 2025","Tue Apr 15 02:48:20 GMT 2025","4274","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Has Space)",""
"passed","Tue Apr 15 02:46:38 GMT 2025","Tue Apr 15 02:46:38 GMT 2025","673","chromium","DiscoverPage.test.ts","","","","has title",""
