"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 15 01:04:13 GMT 2025","Tue Apr 15 01:04:43 GMT 2025","30032","firefox","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"broken","Tue Apr 15 01:18:25 GMT 2025","Tue Apr 15 01:18:55 GMT 2025","30018","webkit","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"broken","Tue Apr 15 01:01:05 GMT 2025","Tue Apr 15 01:01:35 GMT 2025","30017","chromium","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"passed","Tue Apr 15 01:11:05 GMT 2025","Tue Apr 15 01:11:07 GMT 2025","1720","webkit","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 00:56:29 GMT 2025","Tue Apr 15 00:56:59 GMT 2025","30018","chromium","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"broken","Tue Apr 15 01:02:37 GMT 2025","Tue Apr 15 01:03:07 GMT 2025","30016","chromium","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"broken","Tue Apr 15 01:15:17 GMT 2025","Tue Apr 15 01:15:47 GMT 2025","30017","webkit","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"broken","Tue Apr 15 01:16:53 GMT 2025","Tue Apr 15 01:17:23 GMT 2025","30018","webkit","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"broken","Tue Apr 15 01:09:02 GMT 2025","Tue Apr 15 01:09:32 GMT 2025","30050","firefox","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"broken","Tue Apr 15 01:05:48 GMT 2025","Tue Apr 15 01:06:18 GMT 2025","30030","firefox","PostPageCreation.test.ts","","","","Create Post using one character",""
"broken","Tue Apr 15 01:05:55 GMT 2025","Tue Apr 15 01:06:25 GMT 2025","30035","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"passed","Tue Apr 15 01:11:04 GMT 2025","Tue Apr 15 01:11:05 GMT 2025","679","webkit","DiscoverPage.test.ts","","","","has title",""
"broken","Tue Apr 15 01:07:23 GMT 2025","Tue Apr 15 01:07:53 GMT 2025","30030","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"broken","Tue Apr 15 00:58:03 GMT 2025","Tue Apr 15 00:58:33 GMT 2025","30027","chromium","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 00:56:30 GMT 2025","Tue Apr 15 00:57:00 GMT 2025","30026","chromium","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 01:18:22 GMT 2025","Tue Apr 15 01:18:52 GMT 2025","30018","webkit","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"broken","Tue Apr 15 01:09:06 GMT 2025","Tue Apr 15 01:09:36 GMT 2025","30035","firefox","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"broken","Tue Apr 15 01:13:44 GMT 2025","Tue Apr 15 01:14:14 GMT 2025","30028","webkit","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"broken","Tue Apr 15 01:13:42 GMT 2025","Tue Apr 15 01:14:12 GMT 2025","30019","webkit","PostPageCreation.test.ts","","","","Create Post using one character",""
"broken","Tue Apr 15 00:59:33 GMT 2025","Tue Apr 15 01:00:03 GMT 2025","30017","chromium","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"broken","Tue Apr 15 01:08:58 GMT 2025","Tue Apr 15 01:09:28 GMT 2025","30028","firefox","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"broken","Tue Apr 15 01:12:16 GMT 2025","Tue Apr 15 01:12:46 GMT 2025","30019","webkit","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 00:59:35 GMT 2025","Tue Apr 15 01:00:05 GMT 2025","30018","chromium","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"broken","Tue Apr 15 01:10:37 GMT 2025","Tue Apr 15 01:11:07 GMT 2025","30088","firefox","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"broken","Tue Apr 15 01:16:49 GMT 2025","Tue Apr 15 01:17:19 GMT 2025","30018","webkit","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"broken","Tue Apr 15 01:07:30 GMT 2025","Tue Apr 15 01:08:01 GMT 2025","30038","firefox","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 01:01:08 GMT 2025","Tue Apr 15 01:01:38 GMT 2025","30020","chromium","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"passed","Tue Apr 15 01:03:08 GMT 2025","Tue Apr 15 01:03:09 GMT 2025","1199","firefox","DiscoverPage.test.ts","","","","has title",""
"broken","Tue Apr 15 01:10:41 GMT 2025","Tue Apr 15 01:11:11 GMT 2025","30059","firefox","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"broken","Tue Apr 15 01:15:14 GMT 2025","Tue Apr 15 01:15:44 GMT 2025","30018","webkit","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"broken","Tue Apr 15 01:01:07 GMT 2025","Tue Apr 15 01:01:37 GMT 2025","30017","chromium","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"broken","Tue Apr 15 01:02:41 GMT 2025","Tue Apr 15 01:03:11 GMT 2025","30043","chromium","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"broken","Tue Apr 15 01:18:19 GMT 2025","Tue Apr 15 01:18:49 GMT 2025","30020","webkit","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"broken","Tue Apr 15 00:58:00 GMT 2025","Tue Apr 15 00:58:30 GMT 2025","30018","chromium","PostPageCreation.test.ts","","","","Create Post using one character",""
"broken","Tue Apr 15 01:04:15 GMT 2025","Tue Apr 15 01:04:46 GMT 2025","30103","firefox","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 01:16:46 GMT 2025","Tue Apr 15 01:17:16 GMT 2025","30019","webkit","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"broken","Tue Apr 15 01:12:09 GMT 2025","Tue Apr 15 01:12:39 GMT 2025","30027","webkit","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"passed","Tue Apr 15 00:55:26 GMT 2025","Tue Apr 15 00:55:27 GMT 2025","894","chromium","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 01:04:18 GMT 2025","Tue Apr 15 01:04:48 GMT 2025","30048","firefox","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"passed","Tue Apr 15 01:03:09 GMT 2025","Tue Apr 15 01:03:10 GMT 2025","725","firefox","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 01:13:48 GMT 2025","Tue Apr 15 01:14:18 GMT 2025","30018","webkit","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 00:59:36 GMT 2025","Tue Apr 15 01:00:06 GMT 2025","30022","chromium","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 01:12:11 GMT 2025","Tue Apr 15 01:12:41 GMT 2025","30023","webkit","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"passed","Tue Apr 15 00:55:26 GMT 2025","Tue Apr 15 00:55:26 GMT 2025","714","chromium","DiscoverPage.test.ts","","","","has title",""
"broken","Tue Apr 15 01:02:40 GMT 2025","Tue Apr 15 01:03:10 GMT 2025","30035","chromium","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"broken","Tue Apr 15 01:05:52 GMT 2025","Tue Apr 15 01:06:22 GMT 2025","30050","firefox","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"broken","Tue Apr 15 00:56:28 GMT 2025","Tue Apr 15 00:56:58 GMT 2025","30024","chromium","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 01:07:27 GMT 2025","Tue Apr 15 01:07:57 GMT 2025","30033","firefox","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"broken","Tue Apr 15 00:58:02 GMT 2025","Tue Apr 15 00:58:32 GMT 2025","30021","chromium","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"broken","Tue Apr 15 01:15:21 GMT 2025","Tue Apr 15 01:15:51 GMT 2025","30017","webkit","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 01:10:33 GMT 2025","Tue Apr 15 01:11:03 GMT 2025","30029","firefox","SearchPagePosts.test.ts","","","","Search for post within user profile",""
