"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 15 03:04:28 GMT 2025","Tue Apr 15 03:04:58 GMT 2025","30023","webkit","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 02:59:37 GMT 2025","Tue Apr 15 03:00:07 GMT 2025","30034","firefox","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"broken","Tue Apr 15 02:50:11 GMT 2025","Tue Apr 15 02:50:41 GMT 2025","30020","chromium","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"broken","Tue Apr 15 02:50:13 GMT 2025","Tue Apr 15 02:50:43 GMT 2025","30017","chromium","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"passed","Tue Apr 15 03:01:43 GMT 2025","Tue Apr 15 03:01:47 GMT 2025","4496","webkit","DiscoverPage.test.ts","","","","has title",""
"broken","Tue Apr 15 03:06:00 GMT 2025","Tue Apr 15 03:06:30 GMT 2025","30021","webkit","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"broken","Tue Apr 15 03:04:28 GMT 2025","Tue Apr 15 03:04:58 GMT 2025","30031","webkit","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"broken","Tue Apr 15 02:58:02 GMT 2025","Tue Apr 15 02:58:32 GMT 2025","30031","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"broken","Tue Apr 15 02:53:15 GMT 2025","Tue Apr 15 02:53:46 GMT 2025","30017","chromium","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"broken","Tue Apr 15 03:04:23 GMT 2025","Tue Apr 15 03:04:53 GMT 2025","30019","webkit","PostPageCreation.test.ts","","","","Create Post using one character",""
"broken","Tue Apr 15 03:01:16 GMT 2025","Tue Apr 15 03:01:46 GMT 2025","30033","firefox","SearchPageUsers.test.ts","","","","Search for user using username handle",""
