"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 15 00:53:00 GMT 2025","Tue Apr 15 00:53:02 GMT 2025","2534","chromium","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 00:57:26 GMT 2025","Tue Apr 15 00:57:56 GMT 2025","30043","webkit","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"passed","Tue Apr 15 00:58:06 GMT 2025","Tue Apr 15 00:58:10 GMT 2025","3999","webkit","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"passed","Tue Apr 15 00:52:59 GMT 2025","Tue Apr 15 00:53:14 GMT 2025","15003","chromium","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"passed","Tue Apr 15 00:55:59 GMT 2025","Tue Apr 15 00:56:03 GMT 2025","3434","firefox","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"passed","Tue Apr 15 00:56:12 GMT 2025","Tue Apr 15 00:56:17 GMT 2025","5038","firefox","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"broken","Tue Apr 15 00:52:23 GMT 2025","Tue Apr 15 00:52:53 GMT 2025","30025","chromium","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 00:52:24 GMT 2025","Tue Apr 15 00:52:54 GMT 2025","30029","chromium","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"passed","Tue Apr 15 00:54:54 GMT 2025","Tue Apr 15 00:55:00 GMT 2025","5167","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"passed","Tue Apr 15 00:53:08 GMT 2025","Tue Apr 15 00:53:11 GMT 2025","2954","chromium","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"passed","Tue Apr 15 00:59:26 GMT 2025","Tue Apr 15 00:59:29 GMT 2025","3264","webkit","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"passed","Tue Apr 15 00:56:21 GMT 2025","Tue Apr 15 00:56:23 GMT 2025","1877","webkit","DiscoverPage.test.ts","","","","get started link",""
"passed","Tue Apr 15 00:56:15 GMT 2025","Tue Apr 15 00:56:19 GMT 2025","4136","firefox","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
