"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 13 16:39:53 GMT 2025","Sun Apr 13 16:39:54 GMT 2025","1228","firefox","DiscoverPage.test.ts","","","","has title",""
"passed","Sun Apr 13 16:36:24 GMT 2025","Sun Apr 13 16:36:28 GMT 2025","4016","chromium","login-validation.test.ts","","","","Forgot Password Login",""
"broken","Sun Apr 13 16:47:22 GMT 2025","Sun Apr 13 16:47:52 GMT 2025","30032","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Has Space)",""
"broken","Sun Apr 13 16:44:56 GMT 2025","Sun Apr 13 16:45:26 GMT 2025","30036","webkit","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"passed","Sun Apr 13 16:44:34 GMT 2025","Sun Apr 13 16:44:37 GMT 2025","2651","webkit","registration.test.ts","","","","Register With No Credentials",""
"passed","Sun Apr 13 16:44:28 GMT 2025","Sun Apr 13 16:44:34 GMT 2025","6654","webkit","login-validation.test.ts","","","","Successful Login",""
"passed","Sun Apr 13 16:36:16 GMT 2025","Sun Apr 13 16:36:17 GMT 2025","1261","chromium","DiscoverPage.test.ts","","","","get started link",""
"passed","Sun Apr 13 16:36:52 GMT 2025","Sun Apr 13 16:36:57 GMT 2025","4533","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 No Value)",""
"passed","Sun Apr 13 16:44:44 GMT 2025","Sun Apr 13 16:44:47 GMT 2025","3561","webkit","registration.test.ts","","","","Register With Valid Email, Good Password)",""
"broken","Sun Apr 13 16:38:54 GMT 2025","Sun Apr 13 16:39:24 GMT 2025","30025","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Less Than 3 Characters)",""
"passed","Sun Apr 13 16:36:19 GMT 2025","Sun Apr 13 16:36:24 GMT 2025","4966","chromium","login-validation.test.ts","","","","Login Only Password Filled",""
"passed","Sun Apr 13 16:36:24 GMT 2025","Sun Apr 13 16:36:28 GMT 2025","4575","chromium","login-validation.test.ts","","","","Login Bad Email Bad Password",""
