"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 15 03:32:10 GMT 2025","Tue Apr 15 03:32:40 GMT 2025","30021","webkit","PostPageCreation.test.ts","","","","Create Post using one character",""
"broken","Tue Apr 15 03:36:57 GMT 2025","Tue Apr 15 03:37:27 GMT 2025","30019","webkit","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"broken","Tue Apr 15 03:19:34 GMT 2025","Tue Apr 15 03:20:04 GMT 2025","30027","chromium","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"broken","Tue Apr 15 03:22:42 GMT 2025","Tue Apr 15 03:23:12 GMT 2025","30104","firefox","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 03:25:50 GMT 2025","Tue Apr 15 03:26:20 GMT 2025","30031","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"broken","Tue Apr 15 03:24:15 GMT 2025","Tue Apr 15 03:24:45 GMT 2025","30029","firefox","PostPageCreation.test.ts","","","","Create Post using one character",""
"broken","Tue Apr 15 03:25:57 GMT 2025","Tue Apr 15 03:26:27 GMT 2025","30044","firefox","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 03:33:43 GMT 2025","Tue Apr 15 03:34:13 GMT 2025","30019","webkit","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"broken","Tue Apr 15 03:21:06 GMT 2025","Tue Apr 15 03:21:37 GMT 2025","30053","chromium","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"broken","Tue Apr 15 03:28:59 GMT 2025","Tue Apr 15 03:29:29 GMT 2025","30050","firefox","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"broken","Tue Apr 15 03:27:33 GMT 2025","Tue Apr 15 03:28:03 GMT 2025","30033","firefox","SearchPagePosts.test.ts","","","","Search for posts using general search",""
"broken","Tue Apr 15 03:14:52 GMT 2025","Tue Apr 15 03:15:22 GMT 2025","30027","chromium","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 03:19:33 GMT 2025","Tue Apr 15 03:20:03 GMT 2025","30020","chromium","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"broken","Tue Apr 15 03:24:18 GMT 2025","Tue Apr 15 03:24:48 GMT 2025","30039","firefox","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"passed","Tue Apr 15 03:13:50 GMT 2025","Tue Apr 15 03:13:50 GMT 2025","602","chromium","DiscoverPage.test.ts","","","","has title",""
"broken","Tue Apr 15 03:35:20 GMT 2025","Tue Apr 15 03:35:50 GMT 2025","30020","webkit","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"broken","Tue Apr 15 03:29:08 GMT 2025","Tue Apr 15 03:29:38 GMT 2025","30133","firefox","SearchPageUsers.test.ts","","","","Search for user using first and last name",""
"passed","Tue Apr 15 03:29:31 GMT 2025","Tue Apr 15 03:29:34 GMT 2025","3429","webkit","DiscoverPage.test.ts","","","","has title",""
"passed","Tue Apr 15 03:29:35 GMT 2025","Tue Apr 15 03:29:38 GMT 2025","2695","webkit","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 03:29:04 GMT 2025","Tue Apr 15 03:29:34 GMT 2025","30029","firefox","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"broken","Tue Apr 15 03:33:51 GMT 2025","Tue Apr 15 03:34:21 GMT 2025","30018","webkit","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 03:19:30 GMT 2025","Tue Apr 15 03:20:00 GMT 2025","30022","chromium","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"broken","Tue Apr 15 03:16:27 GMT 2025","Tue Apr 15 03:16:57 GMT 2025","30018","chromium","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"broken","Tue Apr 15 03:18:01 GMT 2025","Tue Apr 15 03:18:31 GMT 2025","30016","chromium","SearchPageErrorCase.test.ts","","","","Search for empty term",""
"broken","Tue Apr 15 03:22:44 GMT 2025","Tue Apr 15 03:23:14 GMT 2025","30052","firefox","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 03:30:38 GMT 2025","Tue Apr 15 03:31:08 GMT 2025","30031","webkit","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"broken","Tue Apr 15 03:27:25 GMT 2025","Tue Apr 15 03:27:55 GMT 2025","30038","firefox","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"broken","Tue Apr 15 03:14:54 GMT 2025","Tue Apr 15 03:15:24 GMT 2025","30030","chromium","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 03:21:05 GMT 2025","Tue Apr 15 03:21:35 GMT 2025","30035","chromium","SearchPageUsers.test.ts","","","","Search for user using username handle",""
"broken","Tue Apr 15 03:14:54 GMT 2025","Tue Apr 15 03:15:24 GMT 2025","30023","chromium","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"broken","Tue Apr 15 03:35:16 GMT 2025","Tue Apr 15 03:35:46 GMT 2025","30022","webkit","SearchPageFeeds.test.ts","","","","Search for feeds using search term",""
"broken","Tue Apr 15 03:33:47 GMT 2025","Tue Apr 15 03:34:17 GMT 2025","30019","webkit","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"broken","Tue Apr 15 03:16:28 GMT 2025","Tue Apr 15 03:16:58 GMT 2025","30018","chromium","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 03:30:46 GMT 2025","Tue Apr 15 03:31:16 GMT 2025","30020","webkit","PostPageCancellation.test.ts","","","","Cancel Post during its creation",""
"broken","Tue Apr 15 03:36:48 GMT 2025","Tue Apr 15 03:37:18 GMT 2025","30019","webkit","SearchPagePosts.test.ts","","","","Search for post within user profile",""
"passed","Tue Apr 15 03:21:35 GMT 2025","Tue Apr 15 03:21:36 GMT 2025","788","firefox","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 03:32:14 GMT 2025","Tue Apr 15 03:32:44 GMT 2025","30020","webkit","PostPageCreation.test.ts","","","","Create Post using 300 characters",""
"broken","Tue Apr 15 03:27:29 GMT 2025","Tue Apr 15 03:27:59 GMT 2025","30032","firefox","SearchPageFeeds.test.ts","","","","Search for feeds using hashtag",""
"broken","Tue Apr 15 03:24:21 GMT 2025","Tue Apr 15 03:24:51 GMT 2025","30039","firefox","PostPageCreationEdgeCase.test.ts","","","","Create Post using less than 0 characters",""
"broken","Tue Apr 15 03:18:00 GMT 2025","Tue Apr 15 03:18:30 GMT 2025","30018","chromium","PostPageDeletion.test.ts","","","","Delete Last Created Post",""
"broken","Tue Apr 15 03:22:39 GMT 2025","Tue Apr 15 03:23:09 GMT 2025","30034","firefox","PostPageCancellation.test.ts","","","","Cancel Post without typing any text",""
"broken","Tue Apr 15 03:17:58 GMT 2025","Tue Apr 15 03:18:28 GMT 2025","30020","chromium","PostPageCreationEdgeCase.test.ts","","","","Create Post using greater than 300 characters",""
"passed","Tue Apr 15 03:13:50 GMT 2025","Tue Apr 15 03:13:51 GMT 2025","1083","chromium","DiscoverPage.test.ts","","","","get started link",""
"broken","Tue Apr 15 03:21:03 GMT 2025","Tue Apr 15 03:21:33 GMT 2025","30015","chromium","SearchPagePosts.test.ts","","","","Search for post within user profile",""
