"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 13 16:35:49 GMT 2025","Sun Apr 13 16:35:52 GMT 2025","2773","firefox","registration.test.ts","","","","Register With Only Email (valid)",""
"broken","Sun Apr 13 16:43:12 GMT 2025","Sun Apr 13 16:43:42 GMT 2025","30038","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Over 18 Characters)",""
"broken","Sun Apr 13 16:33:31 GMT 2025","Sun Apr 13 16:34:02 GMT 2025","30039","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Already Taken)",""
"broken","Sun Apr 13 16:37:42 GMT 2025","Sun Apr 13 16:38:12 GMT 2025","30057","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Already Taken)",""
"passed","Sun Apr 13 16:39:49 GMT 2025","Sun Apr 13 16:39:51 GMT 2025","1934","webkit","login-validation.test.ts","","","","Login Only Email Filled",""
"broken","Sun Apr 13 16:39:17 GMT 2025","Sun Apr 13 16:39:47 GMT 2025","30047","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Over 18 Characters)",""
"broken","Sun Apr 13 16:36:27 GMT 2025","Sun Apr 13 16:36:57 GMT 2025","30068","firefox","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"passed","Sun Apr 13 16:35:46 GMT 2025","Sun Apr 13 16:35:49 GMT 2025","2662","firefox","registration.test.ts","","","","Register With No Credentials",""
"broken","Sun Apr 13 16:32:58 GMT 2025","Sun Apr 13 16:33:28 GMT 2025","30028","chromium","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"failed","Sun Apr 13 16:40:30 GMT 2025","Sun Apr 13 16:40:34 GMT 2025","4259","webkit","registration.test.ts","","","","Register With Birth Date Under 13 Years)",""
"passed","Sun Apr 13 16:35:43 GMT 2025","Sun Apr 13 16:35:44 GMT 2025","1527","firefox","login-validation.test.ts","","","","Forgot Password Login",""
"broken","Sun Apr 13 16:39:37 GMT 2025","Sun Apr 13 16:40:07 GMT 2025","30113","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 Good Handle)",""
"passed","Sun Apr 13 16:36:35 GMT 2025","Sun Apr 13 16:36:39 GMT 2025","3587","firefox","registration.test.ts","","","","Register Step 1 Valid, Step 2 No Value)",""
"passed","Sun Apr 13 16:32:02 GMT 2025","Sun Apr 13 16:32:07 GMT 2025","4906","chromium","registration.test.ts","","","","Register With No Credentials",""
"passed","Sun Apr 13 16:35:55 GMT 2025","Sun Apr 13 16:35:59 GMT 2025","3599","firefox","registration.test.ts","","","","Register With Valid Email, Short Password)",""
"passed","Sun Apr 13 16:32:19 GMT 2025","Sun Apr 13 16:32:30 GMT 2025","10252","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 No Value)",""
"broken","Sun Apr 13 16:40:26 GMT 2025","Sun Apr 13 16:40:56 GMT 2025","30026","webkit","FollowingPage.test.ts","","","","user can follow and unfollow mercytum",""
"passed","Sun Apr 13 16:35:36 GMT 2025","Sun Apr 13 16:35:38 GMT 2025","2456","firefox","login-validation.test.ts","","","","Login Only Email Filled",""
"broken","Sun Apr 13 16:43:32 GMT 2025","Sun Apr 13 16:44:02 GMT 2025","30024","webkit","registration.test.ts","","","","Register Step 1 Valid, Step 2 Good Handle)",""
"passed","Sun Apr 13 16:39:20 GMT 2025","Sun Apr 13 16:39:21 GMT 2025","986","webkit","DiscoverPage.test.ts","","","","has title",""
"broken","Sun Apr 13 16:34:49 GMT 2025","Sun Apr 13 16:35:19 GMT 2025","30019","chromium","registration.test.ts","","","","Register Step 1 Valid, Step 2 Handle Has Space)",""
